row.names,rdays,Ta.c,W.c,GR.c,HC.c,Ta.f,W.f,GR.f,HC.f,Ta.VEKS.o,ds.jdate,ds.hh,ds.dow,ds.tod,ds.diy,ds.wiy,jdate,hh
70,2.875,11.2,2.4,1,325.3,11.2,2.4,1,325.3,14,12967,23,1,1,184,27,12967,22
71,2.91666666666606,11.5,1.8,1,301.8,11.5,1.8,1,301.8,14,12968,0,2,1,185,27,12967,23
72,2.95833333333212,11.8,1.9,1,293.5,11.8,1.9,1,293.5,14.3,12968,1,2,1,185,27,12968,0
73,3,12.1,2,1,297.3,12.1,2,1,297.3,13.5,12968,2,2,1,185,27,12968,1
74,3.04166666666606,11.4,2.2,-1,320.2,11.4,2.2,-1,320.2,12.9,12968,3,2,1,185,27,12968,2
75,3.08333333333212,10.7,1.9,-1,335.2,10.7,1.9,-1,335.2,12.9,12968,4,2,1,185,27,12968,3
76,3.125,10.9,2.2,2,370,10.9,2.2,2,370,12.9,12968,5,2,1,185,27,12968,4
77,3.16666666666606,10.9,2.9,12,427.5,10.9,2.9,12,427.5,12.9,12968,6,2,1,185,27,12968,5
78,3.20833333333212,10.9,2.7,55,439.7,10.9,2.7,55,439.7,13.2,12968,7,2,1,185,27,12968,6
79,3.25,11.4,3.2,119,414.6,11.4,3.2,119,414.6,13.8,12968,8,2,1,185,27,12968,7
80,3.29166666666606,11.6,3.5,297,NA,11.6,3.5,297,402.93946116293,14,12968,9,2,1,185,27,12968,8
81,3.33333333333212,11.9,3.6,261,NA,11.9,3.6,261,395.657409634733,15.1,12968,10,2,1,185,27,12968,9
82,3.375,12.3,4,284,387.9,12.3,4,284,387.9,16.3,12968,11,2,1,185,27,12968,10
83,3.41666666666606,13.4,4.4,403,364.6,13.4,4.4,403,364.6,17.4,12968,12,2,1,185,27,12968,11
84,3.45833333333212,14.6,4.5,502,346.2,14.6,4.5,502,346.2,17.7,12968,13,2,1,185,27,12968,12
85,3.5,15.1,4.8,476,343,15.1,4.8,476,343,17.1,12968,14,2,1,185,27,12968,13
86,3.54166666666606,15,5,388,367.1,15,5,388,367.1,16.8,12968,15,2,1,185,27,12968,14
87,3.58333333333212,14.7,5.2,513,350.6,14.7,5.2,513,350.6,16.3,12968,16,2,1,185,27,12968,15
88,3.625,14.3,4.7,152,371.9,14.3,4.7,152,371.9,16.3,12968,17,2,1,185,27,12968,16
89,3.66666666666606,14.3,4.8,244,NA,14.3,4.8,244,370.277524817821,15.7,12968,18,2,1,185,27,12968,17
90,3.70833333333212,13.2,4.7,167,376.5,13.2,4.7,167,376.5,16.5,12968,19,2,1,185,27,12968,18
91,3.75,14.2,4,160,386.2,14.2,4,160,386.2,16,12968,20,2,1,185,27,12968,19
92,3.79166666666606,13.8,4,62,391.6,13.8,4,62,391.6,14.9,12968,21,2,1,185,27,12968,20
93,3.83333333333212,12.7,3.4,15,384.3,12.7,3.4,15,384.3,14.3,12968,22,2,1,185,27,12968,21
94,3.875,12.2,3.5,-1,351.2,12.2,3.5,-1,351.2,14.3,12968,23,2,1,185,27,12968,22
95,3.91666666666606,12.2,3.4,-1,338.2,12.2,3.4,-1,338.2,13.8,12969,0,3,1,186,27,12968,23
96,3.95833333333212,11.8,3,-2,335.3,11.8,3,-2,335.3,13.2,12969,1,3,1,186,27,12969,0
97,4,11.5,3.3,-1,344.6,11.5,3.3,-1,344.6,12.6,12969,2,3,1,186,27,12969,1
98,4.04166666666606,11,3.6,-2,343.3,11,3.6,-2,343.3,12.6,12969,3,3,1,186,27,12969,2
99,4.08333333333212,11.1,3.5,0,357.3,11.1,3.5,0,357.3,12.9,12969,4,3,1,186,27,12969,3
100,4.125,10.9,3.3,3,414.2,10.9,3.3,3,414.2,12.9,12969,5,3,1,186,27,12969,4
101,4.16666666666606,10.8,5.6,35,445.5,10.8,5.6,35,445.5,12.9,12969,6,3,1,186,27,12969,5
102,4.20833333333212,11.1,5.3,169,457.9,11.1,5.3,169,457.9,13.2,12969,7,3,1,186,27,12969,6
103,4.25,11.2,6.4,167,450.3,11.2,6.4,167,450.3,13.8,12969,8,3,1,186,27,12969,7
104,4.29166666666606,11.6,6,266,447.9,11.6,6,266,447.9,14.3,12969,9,3,1,186,27,12969,8
105,4.33333333333212,12,6.3,333,413,12,6.3,333,413,15.4,12969,10,3,1,186,27,12969,9
106,4.375,12.8,5.5,442,413.2,12.8,5.5,442,413.2,15.4,12969,11,3,1,186,27,12969,10
107,4.41666666666606,12.9,5.1,338,367.1,12.9,5.1,338,367.1,16.3,12969,12,3,1,186,27,12969,11
108,4.45833333333212,13.8,4.5,517,345.4,13.8,4.5,517,345.4,17.7,12969,13,3,1,186,27,12969,12
109,4.5,14.8,4.9,687,NA,14.8,4.9,687,327.533859200227,0,12969,14,3,1,186,27,12969,13
110,4.54166666666606,15.4,5.7,683,NA,15.4,5.7,683,320.754062246442,10.4,12969,15,3,1,186,27,12969,14
111,4.58333333333212,15.5,5.4,558,312.4,15.5,5.4,558,312.4,18.2,12969,16,3,1,186,27,12969,15
112,4.625,15.7,5.1,555,324.3,15.7,5.1,555,324.3,18.2,12969,17,3,1,186,27,12969,16
113,4.66666666666606,15.4,4.7,389,335.9,15.4,4.7,389,335.9,17.7,12969,18,3,1,186,27,12969,17
114,4.70833333333212,14.9,4.5,266,341.9,14.9,4.5,266,341.9,17.4,12969,19,3,1,186,27,12969,18
115,4.75,14.6,3.8,125,336.5,14.6,3.8,125,336.5,16.5,12969,20,3,1,186,27,12969,19
116,4.79166666666606,14,3.1,70,342.3,14,3.1,70,342.3,15.7,12969,21,3,1,186,27,12969,20
117,4.83333333333212,13.2,2.8,9,373.9,13.2,2.8,9,373.9,15.1,12969,22,3,1,186,27,12969,21
118,4.875,12.7,2.5,-1,346.1,12.7,2.5,-1,346.1,14.9,12969,23,3,1,186,27,12969,22
119,4.91666666666606,12.4,2.3,-1,328.4,12.4,2.3,-1,328.4,13.5,12970,0,4,1,187,27,12969,23
120,4.95833333333212,11.5,1.6,-3,332,11.5,1.6,-3,332,12.6,12970,1,4,1,187,27,12970,0
121,5,10.9,1.8,-2,341.8,10.9,1.8,-2,341.8,12.4,12970,2,4,1,187,27,12970,1
122,5.04166666666606,10.3,2,-1,343.4,10.3,2,-1,343.4,12.6,12970,3,4,1,187,27,12970,2
123,5.08333333333212,10.7,1.5,0,347.3,10.7,1.5,0,347.3,13.2,12970,4,4,1,187,27,12970,3
124,5.125,11.3,2.2,2,379,11.3,2.2,2,379,13.8,12970,5,4,1,187,27,12970,4
125,5.16666666666606,12.1,2.6,24,415.1,12.1,2.6,24,415.1,14.6,12970,6,4,1,187,27,12970,5
126,5.20833333333212,12.6,2.6,43,429.7,12.6,2.6,43,429.7,14.9,12970,7,4,1,187,27,12970,6
127,5.25,13.2,3.3,55,404.9,13.2,3.3,55,404.9,15.7,12970,8,4,1,187,27,12970,7
128,5.29166666666606,13.8,3.5,111,387.9,13.8,3.5,111,387.9,16.5,12970,9,4,1,187,27,12970,8
129,5.33333333333212,14.7,3.4,157,372.7,14.7,3.4,157,372.7,17.7,12970,10,4,1,187,27,12970,9
130,5.375,15.5,3.3,204,353.8,15.5,3.3,204,353.8,19.1,12970,11,4,1,187,27,12970,10
131,5.41666666666606,16.8,4,283,321.2,16.8,4,283,321.2,20.5,12970,12,4,1,187,27,12970,11
132,5.45833333333212,18.2,3.9,382,314.5,18.2,3.9,382,314.5,21.3,12970,13,4,1,187,27,12970,12
133,5.5,19.3,4.4,437,302,19.3,4.4,437,302,22.4,12970,14,4,1,187,27,12970,13
134,5.54166666666606,19.7,4,460,290.6,19.7,4,460,290.6,22.7,12970,15,4,1,187,27,12970,14
135,5.58333333333212,20.7,4.1,242,287.4,20.7,4.1,242,287.4,23,12970,16,4,1,187,27,12970,15
136,5.625,21.1,3.8,244,311.5,21.1,3.8,244,311.5,23.3,12970,17,4,1,187,27,12970,16
137,5.66666666666606,21.5,3.3,230,318.1,21.5,3.3,230,318.1,23.5,12970,18,4,1,187,27,12970,17
138,5.70833333333212,21.6,3.1,154,314.5,21.6,3.1,154,314.5,23.3,12970,19,4,1,187,27,12970,18
139,5.75,21.4,2.5,134,300.7,21.4,2.5,134,300.7,22.7,12970,20,4,1,187,27,12970,19
140,5.79166666666606,20.8,2.3,71,287.7,20.8,2.3,71,287.7,21.6,12970,21,4,1,187,27,12970,20
141,5.83333333333212,19.5,2.5,16,293.7,19.5,2.5,16,293.7,19.9,12970,22,4,1,187,27,12970,21
142,5.875,17.7,1.5,-2,292.2,17.7,1.5,-2,292.2,19.1,12970,23,4,1,187,27,12970,22
143,5.91666666666606,16.6,1.6,-2,279.9,16.6,1.6,-2,279.9,18.5,12971,0,5,1,188,27,12970,23
144,5.95833333333212,16.6,2.4,-2,274.4,16.6,2.4,-2,274.4,17.7,12971,1,5,1,188,27,12971,0
145,6,16,2.1,-2,273.3,16,2.1,-2,273.3,17.4,12971,2,5,1,188,27,12971,1
146,6.04166666666606,15.4,1.8,-1,278.4,15.4,1.8,-1,278.4,17.7,12971,3,5,1,188,27,12971,2
147,6.08333333333212,15.6,1.8,0,273.7,15.6,1.8,0,273.7,17.7,12971,4,5,1,188,27,12971,3
148,6.125,15.6,1.7,2,309.5,15.6,1.7,2,309.5,17.4,12971,5,5,1,188,27,12971,4
149,6.16666666666606,15.6,1.7,17,339,15.6,1.7,17,339,17.9,12971,6,5,1,188,27,12971,5
150,6.20833333333212,15.9,1.9,61,337.3,15.9,1.9,61,337.3,18.2,12971,7,5,1,188,27,12971,6
151,6.25,16.4,2.2,111,331,16.4,2.2,111,331,19.3,12971,8,5,1,188,27,12971,7
152,6.29166666666606,17.2,2.1,215,330.6,17.2,2.1,215,330.6,20.7,12971,9,5,1,188,27,12971,8
153,6.33333333333212,18.6,2.5,307,323.1,18.6,2.5,307,323.1,22.1,12971,10,5,1,188,27,12971,9
154,6.375,20.1,3.5,598,309.7,20.1,3.5,598,309.7,23.8,12971,11,5,1,188,27,12971,10
155,6.41666666666606,21.3,3.8,628,298.5,21.3,3.8,628,298.5,24.4,12971,12,5,1,188,27,12971,11
156,6.45833333333212,22.3,4.5,747,296.1,22.3,4.5,747,296.1,24.7,12971,13,5,1,188,27,12971,12
157,6.5,22.9,4.4,692,288.7,22.9,4.4,692,288.7,24.9,12971,14,5,1,188,27,12971,13
158,6.54166666666606,23.2,4.4,719,288.9,23.2,4.4,719,288.9,25.5,12971,15,5,1,188,27,12971,14
159,6.58333333333212,23.5,4.2,688,282.4,23.5,4.2,688,282.4,25.5,12971,16,5,1,188,27,12971,15
160,6.625,23.8,4.1,612,294.9,23.8,4.1,612,294.9,25.5,12971,17,5,1,188,27,12971,16
161,6.66666666666606,23.8,3.6,483,291.9,23.8,3.6,483,291.9,25.5,12971,18,5,1,188,27,12971,17
162,6.70833333333212,23.8,3.1,345,284,23.8,3.1,345,284,24.7,12971,19,5,1,188,27,12971,18
163,6.75,23.2,2.6,192,279.7,23.2,2.6,192,279.7,23.5,12971,20,5,1,188,27,12971,19
164,6.79166666666606,22.1,1.8,79,269.6,22.1,1.8,79,269.6,22.1,12971,21,5,1,188,27,12971,20
165,6.83333333333212,20.5,1.3,12,272.8,20.5,1.3,12,272.8,20.5,12971,22,5,1,188,27,12971,21
166,6.875,18.8,0.9,-4,262.5,18.8,0.9,-4,262.5,19.6,12971,23,5,1,188,27,12971,22
167,6.91666666666606,17.7,0.9,-3,252.3,17.7,0.9,-3,252.3,17.9,12972,0,6,2,189,27,12971,23
168,6.95833333333212,17,0.9,-3,255.8,17,0.9,-3,255.8,17.1,12972,1,6,2,189,27,12972,0
169,7,15.7,0.6,-3,251.5,15.7,0.6,-3,251.5,14.9,12972,2,6,2,189,27,12972,1
170,7.04166666666606,14.3,0.5,-3,255.1,14.3,0.5,-3,255.1,14.3,12972,3,6,2,189,27,12972,2
171,7.08333333333212,14.1,0.6,-2,266.7,14.1,0.6,-2,266.7,13.8,12972,4,6,2,189,27,12972,3
172,7.125,13.4,0.4,2,275.4,13.4,0.4,2,275.4,14.3,12972,5,6,2,189,27,12972,4
173,7.16666666666606,13.1,0.4,44,270.4,13.1,0.4,44,270.4,17.4,12972,6,6,2,189,27,12972,5
174,7.20833333333212,15.1,0.6,117,274.8,15.1,0.6,117,274.8,19.6,12972,7,6,2,189,27,12972,6
175,7.25,16.9,1,227,295.3,16.9,1,227,295.3,20.7,12972,8,6,2,189,27,12972,7
176,7.29166666666606,18.3,1.5,396,310.1,18.3,1.5,396,310.1,21.9,12972,9,6,2,189,27,12972,8
177,7.33333333333212,19.5,1.7,551,320.7,19.5,1.7,551,320.7,23.3,12972,10,6,2,189,27,12972,9
178,7.375,20.7,1.8,673,323,20.7,1.8,673,323,24.1,12972,11,6,2,189,27,12972,10
179,7.41666666666606,21.9,1.7,767,302.8,21.9,1.7,767,302.8,25.2,12972,12,6,2,189,27,12972,11
180,7.45833333333212,22.7,2,811,292.1,22.7,2,811,292.1,25.8,12972,13,6,2,189,27,12972,12
181,7.5,23.3,1.9,824,276.4,23.3,1.9,824,276.4,26.6,12972,14,6,2,189,27,12972,13
182,7.54166666666606,24.3,1.9,802,270.2,24.3,1.9,802,270.2,26.9,12972,15,6,2,189,27,12972,14
183,7.58333333333212,24.3,2.3,709,265.4,24.3,2.3,709,265.4,26.6,12972,16,6,2,189,27,12972,15
184,7.625,24.1,2.5,619,275.2,24.1,2.5,619,275.2,26.1,12972,17,6,2,189,27,12972,16
185,7.66666666666606,23.7,2.5,495,280.1,23.7,2.5,495,280.1,25.8,12972,18,6,2,189,27,12972,17
186,7.70833333333212,23.4,2.3,364,277.1,23.4,2.3,364,277.1,24.7,12972,19,6,2,189,27,12972,18
187,7.75,22.6,2,214,270.5,22.6,2,214,270.5,24.1,12972,20,6,2,189,27,12972,19
188,7.79166666666606,21.9,0.8,83,257.7,21.9,0.8,83,257.7,22.4,12972,21,6,2,189,27,12972,20
189,7.83333333333212,20.1,0.6,10,259.6,20.1,0.6,10,259.6,20.7,12972,22,6,2,189,27,12972,21
190,7.875,17.7,0.9,-3,263.3,17.7,0.9,-3,263.3,19.9,12972,23,6,2,189,27,12972,22
191,7.91666666666606,16,1.1,-3,251.4,16,1.1,-3,251.4,18.8,12973,0,7,3,190,27,12972,23
192,7.95833333333212,15.1,0.8,-3,249.3,15.1,0.8,-3,249.3,17.4,12973,1,7,3,190,27,12973,0
193,8,14.3,1.5,-1,255.9,14.3,1.5,-1,255.9,17.4,12973,2,7,3,190,27,12973,1
194,8.04166666666606,14.5,2.4,1,245.3,14.5,2.4,1,245.3,17.7,12973,3,7,3,190,27,12973,2
195,8.08333333333212,14.7,2.2,0,249.6,14.7,2.2,0,249.6,17.4,12973,4,7,3,190,27,12973,3
196,8.125,13.8,1.1,2,265.8,13.8,1.1,2,265.8,16.5,12973,5,7,3,190,27,12973,4
197,8.16666666666606,13.5,0.9,35,256.7,13.5,0.9,35,256.7,17.1,12973,6,7,3,190,27,12973,5
198,8.20833333333212,14.1,0.6,104,260.5,14.1,0.6,104,260.5,18.8,12973,7,7,3,190,27,12973,6
199,8.25,15.9,1,233,NA,15.9,1,233,273.855745285818,20.7,12973,8,7,3,190,27,12973,7
200,8.29166666666606,17.9,1.6,390,NA,17.9,1.6,390,285.158314170036,22.7,12973,9,7,3,190,27,12973,8
201,8.33333333333212,19.8,1.7,541,292.2,19.8,1.7,541,292.2,24.1,12973,10,7,3,190,27,12973,9
202,8.375,20.9,2,671,293.3,20.9,2,671,293.3,24.7,12973,11,7,3,190,27,12973,10
203,8.41666666666606,22,1.7,762,301.3,22,1.7,762,301.3,24.9,12973,12,7,3,190,27,12973,11
204,8.45833333333212,23.4,1.4,814,295.7,23.4,1.4,814,295.7,25.5,12973,13,7,3,190,27,12973,12
205,8.5,24,1.7,726,277.1,24,1.7,726,277.1,25.8,12973,14,7,3,190,27,12973,13
206,8.54166666666606,24.1,2.3,799,266.6,24.1,2.3,799,266.6,25.2,12973,15,7,3,190,27,12973,14
207,8.58333333333212,23.9,2.6,685,258.1,23.9,2.6,685,258.1,24.9,12973,16,7,3,190,27,12973,15
208,8.625,23.7,2.5,584,261.1,23.7,2.5,584,261.1,23.3,12973,17,7,3,190,27,12973,16
209,8.66666666666606,22,2.7,307,281.2,22,2.7,307,281.2,22.4,12973,18,7,3,190,27,12973,17
210,8.70833333333212,21.1,2,246,275.6,21.1,2,246,275.6,21.6,12973,19,7,3,190,27,12973,18
211,8.75,20.7,1.4,102,281.6,20.7,1.4,102,281.6,21,12973,20,7,3,190,27,12973,19
212,8.79166666666606,19.6,2,65,272.9,19.6,2,65,272.9,19.9,12973,21,7,3,190,27,12973,20
213,8.83333333333212,18.9,2.5,12,268.5,18.9,2.5,12,268.5,19.9,12973,22,7,3,190,27,12973,21
214,8.875,17.4,2.9,-2,274.4,17.4,2.9,-2,274.4,18.8,12973,23,7,3,190,27,12973,22
215,8.91666666666606,16.3,3.1,-2,254.5,16.3,3.1,-2,254.5,18.2,12974,0,1,1,191,28,12973,23
216,8.95833333333212,15.8,2.8,-2,253.9,15.8,2.8,-2,253.9,17.4,12974,1,1,1,191,28,12974,0
217,9,15.6,3,-2,248.7,15.6,3,-2,248.7,17.4,12974,2,1,1,191,28,12974,1
218,9.04166666666606,15.2,2.7,-1,252.6,15.2,2.7,-1,252.6,17.7,12974,3,1,1,191,28,12974,2
219,9.08333333333212,14.4,2,-1,259.5,14.4,2,-1,259.5,17.4,12974,4,1,1,191,28,12974,3
220,9.125,14.5,2.2,1,310.5,14.5,2.2,1,310.5,16,12974,5,1,1,191,28,12974,4
221,9.16666666666606,13.8,2,4,354.3,13.8,2,4,354.3,15.1,12974,6,1,1,191,28,12974,5
222,9.20833333333212,12.5,2.9,30,343.2,12.5,2.9,30,343.2,16,12974,7,1,1,191,28,12974,6
223,9.25,13.4,3.2,169,325,13.4,3.2,169,325,17.7,12974,8,1,1,191,28,12974,7
224,9.29166666666606,15,3.6,352,316.8,15,3.6,352,316.8,19.3,12974,9,1,1,191,28,12974,8
225,9.33333333333212,16.7,3.7,516,304.4,16.7,3.7,516,304.4,21,12974,10,1,1,191,28,12974,9
226,9.375,17.8,3.8,604,296.4,17.8,3.8,604,296.4,21.9,12974,11,1,1,191,28,12974,10
227,9.41666666666606,18.9,4.1,673,291.2,18.9,4.1,673,291.2,23,12974,12,1,1,191,28,12974,11
228,9.45833333333212,20,4.4,750,280,20,4.4,750,280,23.8,12974,13,1,1,191,28,12974,12
229,9.5,20.5,4,749,277.4,20.5,4,749,277.4,24.4,12974,14,1,1,191,28,12974,13
230,9.54166666666606,21.3,3.8,771,262.8,21.3,3.8,771,262.8,24.7,12974,15,1,1,191,28,12974,14
231,9.58333333333212,21,3.6,649,271.9,21,3.6,649,271.9,24.4,12974,16,1,1,191,28,12974,15
232,9.625,21.2,3.5,593,282.4,21.2,3.5,593,282.4,24.1,12974,17,1,1,191,28,12974,16
233,9.66666666666606,20.6,3.6,408,282.3,20.6,3.6,408,282.3,23.5,12974,18,1,1,191,28,12974,17
234,9.70833333333212,20.5,3.1,320,288.5,20.5,3.1,320,288.5,22.1,12974,19,1,1,191,28,12974,18
235,9.75,20.1,2.5,195,288.7,20.1,2.5,195,288.7,20.5,12974,20,1,1,191,28,12974,19
236,9.79166666666606,18.7,2.5,91,280.5,18.7,2.5,91,280.5,17.7,12974,21,1,1,191,28,12974,20
237,9.83333333333212,16.6,2.1,14,289.7,16.6,2.1,14,289.7,14.9,12974,22,1,1,191,28,12974,21
238,9.875,14.5,1,-3,277.1,14.5,1,-3,277.1,14,12974,23,1,1,191,28,12974,22
